url,titol,preu_eur,ubicacio,superficie_construida_m2,superficie_util_m2,habitacions,banys,planta,referencia,data_extraccio
https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-63355732106_106400/,,2250,,107 m²,,2,,,110859924-110859924,2026-04-06
https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08010-63405285832_106400/,,7500,,300 m²,,2,,,110437877-110437877,2026-04-06
https://www.pisos.com/alquilar/piso-el_poble_sec08004-62532651438_106400/,,1200,,50 m²,,1,,,110348304-paralel1h,2026-04-06
https://www.pisos.com/alquilar/piso-barcelona_capital_eixample-62528987386_106700/,,4200,,75 m²,,3,,,Tucson Suites I,2026-04-06
https://www.pisos.com/alquilar/piso-barcelona_capital_eixample-62537538263_106700/,,4200,,130 m²,,3,,,ALESSANDRA RAMBLAS,2026-04-06
https://www.pisos.com/alquilar/piso-barcelona_capital_eixample-62557495878_106700/,,3500,,63 m²,,1,,,JAMES PENTHOUSE.b,2026-04-06
https://www.pisos.com/alquilar/piso-nou_barris-62597212951_106700/,,4200,,120 m²,,3,,,CONFORTABLE FLAT.c,2026-04-06
https://www.pisos.com/alquilar/apartamento-barcelona_capital_eixample-62536758568_106700/,,4000,,70 m²,,3,,,Central Place VII,2026-04-06
https://www.pisos.com/alquilar/apartamento-barcelona_capital_eixample-62513792164_106700/,,3700,,75 m²,,2,,,Gracia New,2026-04-06
https://www.pisos.com/alquilar/apartamento-el_putxet_el_farro08023-62502186214_106700/,,3600,,80 m²,,1,,,Urban Town Suites IV,2026-04-06
https://www.pisos.com/alquilar/piso-sant_marti-62532139504_106700/,,3700,,100 m²,,2,,,PIS_13,2026-04-06
https://www.pisos.com/alquilar/apartamento-barcelona_capital_eixample-62534164172_106700/,,3800,,74 m²,,2,,,Plaza Sagrada,2026-04-06
https://www.pisos.com/alquilar/piso-barcelona_capital_eixample-62535790831_106700/,,3700,,100 m²,,2,,,THE CLARIS SUITES,2026-04-06
https://www.pisos.com/alquilar/apartamento-sant_marti-62572038597_106700/,,3700,,80 m²,,2,,,Sagrada Familia,2026-04-06
https://www.pisos.com/alquilar/piso-barcelona_capital_eixample-62574750170_106700/,,3500,,58 m²,,1,,,Central Place Terrace,2026-04-06
https://www.pisos.com/alquilar/piso-barcelona_capital_eixample-62528007535_106700/,,3500,,61 m²,,1,,,THE CENTRAL PLACE II.S.y,2026-04-06
https://www.pisos.com/alquilar/piso-barcelona_capital_eixample-62560598480_106700/,,3800,,120 m²,,2,,,THE CENTRAL PLACE I,2026-04-06
https://www.pisos.com/alquilar/piso-barcelona_capital_eixample-62575398921_106700/,,4200,,120 m²,,3,,,MARIA,2026-04-06
https://www.pisos.com/alquilar/piso-sarria_sant_gervasi_sarria-62553385642_106700/,,4500,,130 m²,,4,,,PISO DAVID,2026-04-06
https://www.pisos.com/alquilar/apartamento-el_putxet_el_farro08023-62574747374_106700/,,3800,,80 m²,,2,,,Urban Town Suites II,2026-04-06
https://www.pisos.com/alquilar/piso-ciutat_vella-62525175021_106700/,,4200,,140 m²,,3,,,PIS_16,2026-04-06
https://www.pisos.com/alquilar/piso-ciutat_vella-62523870713_106700/,,3800,,130 m²,,2,,,The central Borne.s,2026-04-06
https://www.pisos.com/alquilar/apartamento-barcelona_capital_eixample-62587321397_106700/,,3500,,60 m²,,1,,,Sant Pau,2026-04-06
https://www.pisos.com/alquilar/apartamento-barcelona_capital_eixample-62534057080_106700/,,4200,,120 m²,,3,,,Charlies Penthouse Terrace,2026-04-06
https://www.pisos.com/alquilar/piso-barcelona_capital_eixample-62539543511_106700/,,3500,,90 m²,,1,,,Ultimate Central,2026-04-06
https://www.pisos.com/alquilar/piso-barcelona_capital_eixample-62537366840_106700/,,3500,,85 m²,,1,,,Gaudi Suits II,2026-04-06
https://www.pisos.com/alquilar/piso-barcelona_capital_eixample-62513159211_106700/,,3700,,100 m²,,2,,,SAGRADA Penthouse.c,2026-04-06
https://www.pisos.com/alquilar/piso-barcelona_capital_eixample-62559266223_106700/,,3800,,91 m²,,2,,,THE CENTRAL PLACE V.s,2026-04-06
https://www.pisos.com/alquilar/piso-barcelona_capital_eixample-62553092861_106700/,,3500,,60 m²,,1,,,Central Place Terrasse II,2026-04-06
https://www.pisos.com/alquilar/apartamento-sant_marti-62568564675_106700/,,3800,,119 m²,,2,,,Nathalie Vila,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample-63365929183_106400/,,2500,,100 m²,,3,,,109341028-109341028,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample-63417835442_106400/,,4300,,220 m²,,4,,1ª,100787670-001067,2026-04-06
https://www.pisos.com/alquilar/piso-les_tres_torres08017-62541514003_106000/,,2200,,135 m²,,3,,2ª,4810/18,2026-04-06
https://www.pisos.com/alquilar/piso-sarria_sant_gervasi_sarria-63341112175_106400/,,7100,,273 m²,,3,,,110924369-110924369,2026-04-06
https://www.pisos.com/alquilar/piso-el_barri_gotic08002-62507261289_518209/,,1627,,105 m²,,2,,Entresuelo,003227B,2026-04-06
https://www.pisos.com/alquilar/estudio-eixample_sant_antoni08015-82517788131_515865/,,1000,,29 m²,,,,Principal,RS0276,2026-04-06
https://www.pisos.com/alquilar/piso-el_raval08001-16716952421_518209/,,1830,,130 m²,,4,,3ª,002134,2026-04-06
https://www.pisos.com/alquilar/casa-pedralbes08034-60863888647_108900/,,11200,,504 m²,,6,,,1663,2026-04-06
https://www.pisos.com/alquilar/piso-el_raval08001-62564835965_518209/,,825,,58 m²,,2,,3ª,003641,2026-04-06
https://www.pisos.com/alquilar/piso-sant_gervasi_la_bonanova08022-61685857925_101800/,,4490,,165 m²,,3,,,JA0020-6071,2026-04-06
https://www.pisos.com/alquilar/piso-el_parc_la_llacuna_del_poblenou08018-62562823474_518209/,,1823,,81 m²,,3,,Entresuelo,002773B,2026-04-06
https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample-59179318152_100500/,,2975,,118 m²,,3,,1ª,ULIMA,2026-04-06
https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-62558272217_518209/,,800,,29 m²,,1,,2ª,002542D,2026-04-06
https://www.pisos.com/alquilar/piso-ciutat_vella_la_barceloneta08003-62592152689_518209/,,1248,,42 m²,,1,,1ª,003521B,2026-04-06
https://www.pisos.com/alquilar/piso-el_barri_gotic08002-62512342012_518209/,,1000,,29 m²,,1,,3ª,001979D,2026-04-06
https://www.pisos.com/alquilar/atico-sant_pere_santa_caterina_la_ribera08010-62578378753_108900/,,7500,,308 m²,,2,,4ª,1138,2026-04-06
https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample-62524194378_522145/,,3300,,94 m²,,2,,2ª,000905,2026-04-06
https://www.pisos.com/alquilar/casa-la_marina_del_port_parc_de_montjuic08004-62536374206_100500/,,4500,,194 m²,,5,,,92006SM/6680,2026-04-06
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany08021-61679691661_532269/,,3950,,310 m²,,4,,1ª,000029,2026-04-06
https://www.pisos.com/alquilar/casa-la_clota08035-61682908661_522145/,,7140,,348 m²,,8,,,000864,2026-04-06
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany08006-55067957008_100500/,,2400,,90 m²,,1,,3ª,balmes3-2,2026-04-06
https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample-40874958000_100500/,,2520,,80 m²,,2,,,SENES,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample-60053857852_100500/,,4900,,60 m²,,2,,3ª,80005LP/6680,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample-60092711593_100500/,,8300,,128 m²,,2,,1ª,80006LP/6680,2026-04-06
https://www.pisos.com/alquilar/loft-pedralbes-60066950041_100500/,,2200,,112 m²,,1,,Bajo,90052LP/6680,2026-04-06
https://www.pisos.com/alquilar/apartamento-sant_pere_santa_caterina_la_ribera08003-60035368266_522145/,,3224,,100 m²,,2,,4ª,Laia,2026-04-06
https://www.pisos.com/alquilar/atico-pedralbes08034-59231254656_100500/,,12000,,300 m²,,5,,5ª,SP210NE/2237,2026-04-06
