url,titol,descripcio,preu_eur,ubicacio,superficie_construida_m2,superficie_util_m2,habitacions,banys,planta,antiguitat_anys,referencia,moblat,armaris_empotrats,calefaccio,cuina_equipada,ascensor,terrassa,data_extraccio
https://www.pisos.com/alquilar/piso-sarria_sant_gervasi_sarria08034-63432031785_106400/,Piso en alquiler en Calle de Josep Vicenc Foix No Number en Sarrià por 11.600 €/mes,"ático de lujo recientemente renovado con terraza de 170 m², piscina privada y vistas panorámicas al mar y la ciudad - amueblado o sin amueblar, a 10 min de turó park y escuelas internacionales disponible amueblado o sin amueblar. Ático recientemente renovado, ubicado en una zona residencial exclu...",11600,sarria sant gervasi sarria 5 0/,178 m²,178 m²,3,2,6ª,,105588214-105588214,,,,,,,2026-05-25
https://www.pisos.com/alquilar/atico-el_poble_sec08004-64216251904_103800/,Ático en alquiler en Carrer de Magalhäes en El Poble-sec por 1.975 €/mes,"2 hab dobles y 2 baños + terraza privada piso vacacional alquiler vacacional de más de 32 días, únicamente por motivos de ocio, vacacional, recreativo o cultural o temporal. Imprescindible presentar un documento acreditativo del motivo para poder alquilar. Ubicado en el barrio de poble sec, en...",1975,el poble sec 4 0/,59 m²,54 m²,2,2,3ª,Más de 50 años,AG1263,,2,Eléctrica,,,,2026-05-25
https://www.pisos.com/alquilar/piso-la_font_en_fargues-64201285011_106400/,Piso en alquiler en Carrer Alt de Pedrell en La Font d'en Fargues por 3.900 €/mes,"Alt de pedrell, 84 en barcelona. Posibilidad de alquiler con opción de compra ( solicitar condiciones) inmueble loft/local de 200m2 + 120m2 de terraza con vistas a la ciudad de barcelona. En el anuncio se muestran renders para visualizar como puede quedar. Se muestra plano y dibujo con la forma ...",3900,la font en fargues 1 0/,320 m²,320 m²,2,2,Bajo,Entre 30 y 50 años,111017462-ALQUILER ALT PEDRELL,,,,,,,2026-05-25
https://www.pisos.com/alquilar/loft-sant_pere_santa_caterina_la_ribera08003-62592048501_100500/,Loft en alquiler en Passatge de Sert en Sant Pere-Santa Caterina-La Ribera por 7.500 €/mes,"dcano real estate agency presenta este singular ático / loft de inspiración neoyorquina, disponible en alquiler temporal o de larga estancia, completamente amueblado y listo para entrar a vivir. Pensado para los amantes de los espacios abiertos, los techos altos y las propiedades con carácte...",7500,sant pere santa caterina la ribera 1 0/,300 m²,270 m²,2,2,4ª,,DC272/9085,,1,,,,,2026-05-25
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany-63422408901_106400/,"Piso en alquiler en Carrer de Marià Cubí, cerca de Carrer de Santaló en Sant Gervasi-Galvany por 2.000 €/mes","Alquiler de temporada — estancia mínima de 32 días y máxima de 11 meses disponibilidad del 22/06/2026 al 30/09/2026. Destinado a fines de ocio, vacaciones, uso recreativo o cultural. ¡bienvenido a este apartamento con una gran terraza privada en sant gervasi! situado en un edificio moderno con as...",2000,sant gervasi galvany 1 0/,85 m²,85 m²,2,1,2ª,Entre 10 y 20 años,108283645-Jul28 - MC..2.1-LD..,,,,,,,2026-05-25
https://www.pisos.com/alquilar/piso-sant_andreu_la_sagrera08027-38406391636_501025/,Piso en alquiler en Carrer del Camp del Ferro en La Sagrera por 1.634 €/mes,Vivienda en alquiler en la sagrera. Informacion importante: para visitar esta vivienda envie su documentacion a traves de nuestra web: fincas-sanandres-documentacion clicando en el menu en la pestaña de envio de documentacion. Piso de 125 metros construidos 108 metros utiles con 3 habitacio...,1634,sant andreu la sagrera 6 5/,108 m²,83 m²,3,2,7ª,,1280,,,Gas natural,Independiente,,,2026-05-25
https://www.pisos.com/alquilar/piso-barcelona_capital-64210220105_106400/,"Piso en alquiler en Rambla de Catalunya, cerca de Gran Via de les Corts Catalanes en Barcelona Capital por 4.000 €/mes","Disponibilidad y precios **alquiler temporal exclusivamente para estancias superiores a 32 días** con fines de ocio, vacaciones, recreativos o culturales: - **julio 2026: ** 4.000 € - **agosto 2026: ** 4.500 € ¡descubre tu refugio perfecto en el corazón de barcelona! te presentamos un espectacul...",4000,5 0/,150 m²,150 m²,4,2,3ª,,111504906-ramblacatajulioyagosto,,,,,,,2026-05-25
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany-63356589089_106400/,"Piso en alquiler en Carrer de Marià Cubí, cerca de Carrer de l' Avenir en Sant Gervasi-Galvany por 2.000 €/mes","Disponible desde enero 2026 este apartamento sólo está disponible para estancias temporales y no es adecuado para uso turístico o residencial permanente. Al hacer la reserva, los huéspedes deben proporcionar un motivo de viaje válido aceptado por la legislación local para confirmar la reserva. ¡b...",2000,sant gervasi galvany 9 0/,65 m²,65 m²,2,1,,Menos de 5 años,106771230-Abr6-MC.B.B-LD,,,,,,,2026-05-25
https://www.pisos.com/alquilar/piso-el_barri_gotic08002-61695993503_100500/,Piso en alquiler en Carrer de La Boqueria en El Barri Gòtic por 2.085 €/mes,"Espectacular piso de temporada reformado en el corazón del barrio gótico – listo para entrar a vivir vive en una de las zonas más emblemáticas y vibrantes de barcelona. Este precioso apartamento recién reformado se encuentra en pleno barrio gótico, estratégicamente ubicado entre las estacione...",2085,el barri gotic 3 0/,100 m²,No indicada,2,1,2ª,Más de 50 años,BR015,,1,,Cocina amueblada,,,2026-05-25
https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-63357881493_103800/,Piso en alquiler en El Born en Sant Pere-Santa Caterina-La Ribera por 1.800 €/mes,"Piso vacacional 2 hab y 2 baños + terraza comunitaria alquiler vacacional de más de 32 días, únicamente por motivos de ocio, vacacional, recreativo o cultural o temporal imprescindible presentar un documento acreditativo del motivo para poder alquilar. En una finca clásica completamente rehab...",1800,sant pere santa caterina la ribera 3 0/,62 m²,No indicada,2,2,4ª,,50-AG,,1,Eléctrica,,,,2026-05-25
