"preu_eur","ubicacio","superficie_construida_m2","habitacions","banys","planta","antiguitat_anys","armaris_empotrats","calefaccio","cuina_equipada","planta_num","antiguitat_num","armaris_bin","calefaccio_bin","cuina_bin","preu_m2","cluster"
2400,"La Vila De Gracia",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",32,"4"
2350,"El Raval",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",58.75,"4"
1970,"El Barri Gotic",70,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",28.14,"4"
2600,"El Putxet El Farro",110,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.64,"3"
2950,"El Camp De Arpa Del Clot",100,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",29.5,"3"
2333,"El Raval",85,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",27.45,"4"
1500,"Estudio El Fort Pienc",27,3,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",55.56,"4"
1100,"Estudio El Fort Pienc",18,3,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",61.11,"4"
1500,"Estudio El Fort Pienc",40,3,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",37.5,"4"
1630,"Estudio El Camp De Arpa Del Clot",28,3,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",58.21,"4"
1650,"Sant Andreu La Sagrera",50,2,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",33,"1"
1100,"Eixample Sant Antoni",29,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",37.93,"4"
2100,"0 0/",75,3,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",28,"4"
1750,"6 0/",75,2,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.33,"1"
3500,"2 0/",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",46.67,"3"
1750,"2 0/",75,2,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.33,"1"
1500,"3 0/",75,2,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",20,"1"
2000,"5 0/",120,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",16.67,"3"
1750,"3 0/",85,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",20.59,"4"
1900,"La Sagrada Familia",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",34.55,"4"
3000,"El Putxet El Farro",140,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",21.43,"3"
2000,"Eixample Sant Antoni",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28.57,"4"
2050,"Eixample Sant Antoni",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",29.29,"4"
1890,"8 0/",75,2,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.2,"1"
850,"Estudio El Baix Guinardo",40,3,1,"Bajo","Más de 50 años","","","",0,60,"No","No","No",21.25,"4"
1800,"El Raval",45,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",40,"4"
1650,"El Raval",45,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",36.67,"4"
1670,"Sant Pere Santa Caterina La Ribera",85,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",19.65,"4"
1369,"El Raval",67,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",20.43,"4"
1110,"El Raval",30,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",37,"4"
1500,"El Fort Pienc",33,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",45.45,"4"
1200,"El Raval",47,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",25.53,"4"
1533,"Sant Pere Santa Caterina La Ribera",72,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",21.29,"4"
2000,"Sant Pere Santa Caterina La Ribera",87,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",22.99,"4"
1343,"El Poble Sec",69,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",19.46,"4"
1700,"El Clot",70,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",24.29,"4"
1923,"El Raval",119,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",16.16,"3"
1190,"Sant Pere Santa Caterina La Ribera",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.64,"4"
2780,"Sant Marti El Poblenou",129,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.55,"3"
1923,"El Raval",119,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",16.16,"3"
1849,"El Barri Gotic",69,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",26.8,"4"
2000,"El Fort Pienc",25,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",80,"4"
1946,"El Barri Gotic",78,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",24.95,"4"
2480,"Sant Pere Santa Caterina La Ribera",120,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",20.67,"3"
2310,"El Barri Gotic",130,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",17.77,"3"
1720,"El Camp De Arpa Del Clot",80,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.5,"4"
2300,"El Barri Gotic",130,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",17.69,"3"
2200,"El Barri Gotic",130,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",16.92,"3"
1260,"El Raval",83,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",15.18,"4"
1110,"El Raval",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",27.75,"4"
1355,"Sant Pere Santa Caterina La Ribera",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",27.1,"4"
945,"El Raval",30,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",31.5,"4"
1490,"El Raval",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",22.92,"4"
1800,"El Raval",97,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",18.56,"4"
1140,"El Raval",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28.5,"4"
1640,"Sants Montjuic Hostafrancs",45,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",36.44,"4"
900,"El Raval",30,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",30,"4"
1490,"El Raval",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",22.92,"4"
1490,"El Raval",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",22.92,"4"
2200,"El Barri Gotic",130,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",16.92,"3"
990,"El Raval",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",24.75,"4"
1110,"El Raval",30,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",37,"4"
1399,"El Raval",26,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",53.81,"4"
850,"Sants Montjuic Sants",25,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",34,"4"
2300,"El Poble Sec",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",41.82,"4"
2700,"Sant Gervasi Galvany",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",49.09,"4"
2140,"El Barri Gotic",69,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",31.01,"4"
2199,"Gracia La Salut",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",36.65,"4"
