"preu_eur","ubicacio","superficie_construida_m2","habitacions","banys","planta","antiguitat_anys","armaris_empotrats","calefaccio","cuina_equipada","planta_num","antiguitat_num","armaris_bin","calefaccio_bin","cuina_bin","preu_m2","cluster"
3300,"La Dreta De Eixample",90,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",36.67,"3"
3150,"Antiga Esquerra De Eixample",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",57.27,"4"
2850,"Antiga Esquerra De Eixample",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",51.82,"4"
3150,"Antiga Esquerra De Eixample",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",48.46,"4"
2850,"Antiga Esquerra De Eixample",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",51.82,"4"
3000,"Les Corts Barrio",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",46.15,"4"
2850,"Antiga Esquerra De Eixample",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",51.82,"4"
3300,"Antiga Esquerra De Eixample",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",50.77,"4"
3000,"Antiga Esquerra De Eixample",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",46.15,"4"
3750,"La Dreta De Eixample",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",50,"3"
2700,"Sant Pere Santa Caterina La Ribera",57,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",47.37,"4"
2700,"Sant Gervasi Galvany",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",49.09,"4"
3950,"Sant Pere Santa Caterina La Ribera",130,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",30.38,"3"
2808,"La Sagrada Familia",57,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",49.26,"4"
2964,"La Sagrada Familia",57,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",52,"4"
3300,"La Sagrada Familia",67,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",49.25,"4"
3300,"La Sagrada Familia",67,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",49.25,"4"
3126,"El Fort Pienc",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",41.68,"4"
3000,"La Sagrada Familia",57,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",52.63,"4"
1350,"El Fort Pienc",95,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",14.21,"4"
3100,"Ciutat Vella La Barceloneta",110,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28.18,"3"
1880,"El Barri Gotic",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28.92,"4"
1455,"El Poble Sec",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",24.25,"4"
1250,"El Camp De Arpa Del Clot",85,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",14.71,"4"
850,"Sants Badal",28,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",30.36,"4"
850,"Sants Montjuic Sants",25,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",34,"4"
2000,"El Clot",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",26.67,"4"
850,"Sants Montjuic Sants",25,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",34,"4"
850,"Sants Montjuic Sants",25,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",34,"4"
2300,"La Vila De Gracia",100,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23,"3"
2100,"La Vila De Gracia",80,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",26.25,"4"
2450,"La Vila De Gracia",120,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",20.42,"3"
1900,"La Vila De Gracia",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",31.67,"4"
1900,"La Vila De Gracia",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",29.23,"4"
1300,"El Barri Gotic",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",32.5,"4"
2000,"La Vila De Gracia",100,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",20,"4"
2300,"Antiga Esquerra De Eixample",80,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28.75,"4"
1438,"Sant Marti El Poblenou",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",20.54,"4"
1213,"El Raval",63,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",19.25,"4"
1375,"El Barri Gotic",58,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.71,"4"
2300,"La Dreta De Eixample",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",30.67,"4"
1700,"Antiga Esquerra De Eixample",97,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",17.53,"4"
3000,"El Fort Pienc",80,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",37.5,"4"
2524,"La Nova Esquerra De Eixample",80,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",31.55,"4"
2300,"La Dreta De Eixample",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",30.67,"4"
1400,"Montbau",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.33,"4"
1800,"El Parc La Llacuna Del Poblenou",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.71,"4"
1800,"El Fort Pienc",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",45,"4"
1763,"El Raval",47,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",37.51,"4"
2357,"El Raval",78,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",30.22,"4"
2205,"El Raval",50,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",44.1,"4"
1865,"El Raval",47,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",39.68,"4"
1911,"El Raval",47,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",40.66,"4"
1932,"Ciutat Vella La Barceloneta",33,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",58.55,"4"
2195,"El Raval",47,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",46.7,"4"
2176,"El Raval",50,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",43.52,"4"
1946,"El Raval",47,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",41.4,"4"
2357,"El Raval",68,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",34.66,"4"
1400,"La Vila De Gracia",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28,"4"
2400,"El Fort Pienc",40,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",60,"4"
2150,"El Camp En Grassot Gracia Nova",90,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.89,"4"
2400,"El Fort Pienc",40,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",60,"4"
2400,"El Fort Pienc",60,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",40,"4"
2700,"La Dreta De Eixample",145,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",18.62,"3"
1050,"Sants Montjuic Hostafrancs",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",15,"4"
3500,"El Fort Pienc",85,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",41.18,"3"
1150,"Ciutat Vella La Barceloneta",42,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",27.38,"4"
3000,"La Dreta De Eixample",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",40,"4"
2400,"Eixample Sant Antoni",72,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",33.33,"4"
2249,"La Dreta De Eixample",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",34.6,"4"
1800,"El Fort Pienc",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",45,"4"
2500,"Sant Andreu Barrio",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",71.43,"4"
2600,"Sant Pere Santa Caterina La Ribera",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",37.14,"4"
1220,"La Nova Esquerra De Eixample",67,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",18.21,"4"
1380,"El Raval",80,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",17.25,"4"
3600,"El Barri Gotic",80,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",45,"3"
1800,"El Putxet El Farro",45,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",40,"4"
1498,"El Raval",29,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",51.66,"4"
2300,"Sants Montjuic Hostafrancs",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",30.67,"4"
1600,"Sant Andreu Navas",70,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",22.86,"4"
950,"Sants Montjuic Hostafrancs",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",19,"4"
1640,"La Vila De Gracia",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.43,"4"
1600,"Sant Andreu Barrio",65,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",24.62,"4"
1080,"El Raval",130,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",8.31,"3"
2490,"La Sagrada Familia",42,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",59.29,"4"
1450,"El Besos El Maresme",32,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",45.31,"4"
1050,"Sants Montjuic Hostafrancs",45,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.33,"4"
1050,"Sants Montjuic Hostafrancs",45,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.33,"4"
1480,"El Poble Sec",52,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28.46,"4"
1970,"El Barri Gotic",57,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",34.56,"4"
3600,"El Barri Gotic",85,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",42.35,"3"
2350,"La Dreta De Eixample",80,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",29.38,"4"
1970,"El Barri Gotic",70,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",28.14,"4"
2550,"Sant Gervasi Galvany",55,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",46.36,"4"
2100,"El Fort Pienc",45,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",46.67,"4"
1650,"El Barri Gotic",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",30,"4"
2140,"El Barri Gotic",69,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",31.01,"4"
1500,"Sants Montjuic Sants",45,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",33.33,"4"
3500,"La Dreta De Eixample",170,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",20.59,"3"
3500,"El Raval",96,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",36.46,"3"
1899,"El Barri Gotic",100,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",18.99,"4"
3280,"El Barri Gotic",83,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",39.52,"3"
3500,"El Poble Sec",90,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",38.89,"3"
2500,"El Barri Gotic",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",62.5,"4"
1400,"La Vila De Gracia",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.33,"4"
2950,"El Barri Gotic",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",42.14,"4"
1500,"El Besos El Maresme",32,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",46.88,"4"
2500,"Sant Gervasi Galvany",50,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",50,"4"
2800,"Antiga Esquerra De Eixample",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",50.91,"4"
1360,"El Besos El Maresme",18,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",75.56,"4"
2140,"El Barri Gotic",69,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",31.01,"4"
1330,"El Raval",68,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",19.56,"4"
1700,"El Fort Pienc",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",42.5,"4"
1130,"El Poble Sec",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",32.29,"4"
1750,"Eixample Sant Antoni",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",43.75,"4"
1680,"La Vila De Gracia",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.85,"4"
2600,"El Barri Gotic",146,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",17.81,"3"
2550,"Sant Gervasi Galvany",55,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",46.36,"4"
1970,"El Barri Gotic",70,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",28.14,"4"
1800,"Sants Badal",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",51.43,"4"
3600,"La Dreta De Eixample",90,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",40,"3"
1050,"Sants Montjuic Hostafrancs",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",16.15,"4"
950,"Sants Montjuic Hostafrancs",25,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",38,"4"
2500,"Sant Gervasi Galvany",50,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",50,"4"
3800,"La Dreta De Eixample",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",54.29,"3"
2550,"Sant Gervasi Galvany",52,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",49.04,"4"
1800,"El Fort Pienc",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",45,"4"
1750,"El Barri Gotic",45,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",38.89,"4"
950,"Sants Montjuic Hostafrancs",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",19,"4"
2500,"Ciutat Vella La Barceloneta",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",35.71,"4"
950,"Sants Montjuic Hostafrancs",25,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",38,"4"
3050,"La Dreta De Eixample",60,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",50.83,"4"
2300,"El Raval",92,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25,"4"
950,"Sants Montjuic Hostafrancs",25,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",38,"4"
1425,"Ciutat Vella La Barceloneta",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.75,"4"
1050,"Sants Montjuic Hostafrancs",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21,"4"
2730,"Sant Pere Santa Caterina La Ribera",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",42,"4"
2500,"El Raval",90,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",27.78,"4"
950,"Sants Montjuic Hostafrancs",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",19,"4"
2200,"Eixample Sant Antoni",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",29.33,"4"
1480,"El Poble Sec",52,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28.46,"4"
1550,"El Raval",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",31,"4"
1450,"La Dreta De Eixample",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",41.43,"4"
1400,"4 0/",60,1,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.33,"2"
1600,"Sant Pere Santa Caterina La Ribera",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",45.71,"4"
1500,"Sant Pere Santa Caterina La Ribera",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",42.86,"4"
1800,"El Raval",85,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.18,"4"
1700,"El Barri Gotic",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",42.5,"4"
1700,"El Barri Gotic",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",42.5,"4"
1920,"El Barri Gotic",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",32,"4"
1920,"El Barri Gotic",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",32,"4"
1500,"El Barri Gotic",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",37.5,"4"
790,"Sants Montjuic Sants",25,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",31.6,"4"
1320,"El Raval",45,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",29.33,"4"
1450,"Sants Badal",74,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",19.59,"4"
1000,"Sant Gervasi La Bonanova",70,3,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",14.29,"4"
1650,"La Vila De Gracia",72,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",22.92,"4"
1100,"Vallcarca Els Penitents",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",27.5,"4"
1600,"Ciutat Vella La Barceloneta",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",22.86,"4"
1450,"La Nova Esquerra De Eixample",55,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",26.36,"4"
2600,"El Poble Sec",80,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",32.5,"4"
1600,"Antiga Esquerra De Eixample",90,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",17.78,"4"
1900,"El Besos El Maresme",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",38,"4"
2800,"La Vila De Gracia",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",80,"4"
1600,"El Camp En Grassot Gracia Nova",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",22.86,"4"
3500,"Antiga Esquerra De Eixample",90,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",38.89,"3"
1760,"Sant Pere Santa Caterina La Ribera",50,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",35.2,"4"
2400,"Sant Pere Santa Caterina La Ribera",60,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",40,"4"
2300,"Eixample Sant Antoni",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",32.86,"4"
850,"Sants Montjuic Sants",25,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",34,"4"
1800,"La Vila De Gracia",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",30,"4"
1400,"Gracia La Salut",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",20,"4"
1750,"Horta Guinardo Horta",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",26.92,"4"
1750,"El Fort Pienc",80,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.88,"4"
2200,"La Vila De Gracia",80,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",27.5,"4"
1900,"La Vila De Gracia",80,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.75,"4"
1450,"La Sagrada Familia",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",24.17,"4"
1650,"El Raval",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",41.25,"4"
1800,"La Sagrada Familia",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",24,"4"
1850,"La Vila De Gracia",90,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",20.56,"4"
2100,"Les Corts Barrio",80,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",26.25,"4"
1700,"Sant Gervasi Galvany",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",24.29,"4"
2800,"La Dreta De Eixample",120,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.33,"3"
1100,"El Raval",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",16.92,"4"
1220,"El Raval",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",20.33,"4"
1300,"Sant Marti De Provencals",45,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",28.89,"4"
1550,"Sant Pere Santa Caterina La Ribera",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28.18,"4"
1500,"El Fort Pienc",69,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.74,"4"
1500,"El Barri Gotic",82,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",18.29,"4"
1190,"Ciutat Vella La Barceloneta",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",34,"4"
1800,"El Baix Guinardo",80,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",22.5,"4"
1300,"La Maternitat Sant Ramon",80,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",16.25,"4"
1500,"El Raval",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.43,"4"
1200,"El Coll",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.82,"4"
1200,"El Raval",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.82,"4"
1650,"El Coll",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",22,"4"
1800,"Eixample Sant Antoni",90,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",20,"4"
2030,"El Barri Gotic",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",33.83,"4"
1620,"Sant Marti El Poblenou",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.6,"4"
1750,"La Nova Esquerra De Eixample",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",26.92,"4"
1300,"Sant Andreu Barrio",20,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",65,"4"
1000,"El Barri Gotic",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",16.67,"4"
1950,"La Vila De Gracia",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",27.86,"4"
3600,"La Vila De Gracia",160,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",22.5,"3"
2950,"El Barri Gotic",85,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",34.71,"3"
2600,"Antiga Esquerra De Eixample",85,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",30.59,"4"
1200,"La Vila De Gracia",68,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",17.65,"4"
1100,"El Raval",77,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",14.29,"4"
1450,"El Poble Sec",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",26.36,"4"
2600,"Sant Pere Santa Caterina La Ribera",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",37.14,"4"
2500,"La Dreta De Eixample",50,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",50,"4"
1400,"El Raval",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.54,"4"
2350,"Eixample Sant Antoni",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",39.17,"4"
1360,"El Raval",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",22.67,"4"
2500,"Provencals Del Poblenou",28,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",89.29,"4"
2000,"Provencals Del Poblenou",16,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",125,"4"
2600,"Provencals Del Poblenou",28,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",92.86,"4"
2450,"Provencals Del Poblenou",22,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",111.36,"4"
1150,"Sarria Sant Gervasi Sarria",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28.75,"4"
2300,"Sant Gervasi La Bonanova",81,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28.4,"4"
1000,"Sant Pere Santa Caterina La Ribera",25,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",40,"4"
1550,"El Raval",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28.18,"4"
1030,"La Vila De Gracia",25,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",41.2,"4"
1900,"Eixample Sant Antoni",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",54.29,"4"
1200,"Sants Badal",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",20,"4"
1140,"El Raval",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",32.57,"4"
1500,"7 0/",75,2,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",20,"1"
1900,"El Camp En Grassot Gracia Nova",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",38,"4"
1215,"El Raval",49,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",24.8,"4"
1750,"La Vila De Gracia",22,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",79.55,"4"
1150,"La Maternitat Sant Ramon",28,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",41.07,"4"
850,"Sants Montjuic Sants",30,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28.33,"4"
1750,"La Vila De Gracia",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",29.17,"4"
1190,"El Carmel",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",18.31,"4"
925,"El Raval",39,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.72,"4"
1260,"El Raval",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",31.5,"4"
1200,"El Poble Sec",34,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",35.29,"4"
1750,"El Poble Sec",74,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.65,"4"
1800,"El Raval",97,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",18.56,"4"
1795,"La Nova Esquerra De Eixample",71,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.28,"4"
1350,"El Raval",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",27,"4"
2415,"El Raval",97,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",24.9,"3"
1260,"El Coll",27,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",46.67,"4"
1750,"El Raval",97,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",18.04,"4"
1750,"El Poble Sec",74,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.65,"4"
1214,"El Besos El Maresme",69,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",17.59,"4"
1750,"El Poble Sec",74,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.65,"4"
